         89898 function calls (82795 primitive calls) in 0.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     17/1    0.000    0.000    0.039    0.039 <frozen importlib._bootstrap>:1022(_find_and_load)
     17/1    0.000    0.000    0.039    0.039 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     17/2    0.000    0.000    0.039    0.019 <frozen importlib._bootstrap>:664(_load_unlocked)
     13/2    0.000    0.000    0.039    0.019 <frozen importlib._bootstrap_external>:877(exec_module)
     23/2    0.000    0.000    0.039    0.019 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    181/2    0.012    0.000    0.038    0.019 {built-in method builtins.exec}
        1    0.000    0.000    0.038    0.038 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:1(<module>)
        2    0.000    0.000    0.031    0.015 {built-in method builtins.__import__}
        1    0.000    0.000    0.030    0.030 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.029    0.029 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\TraffyAsm.py:1(<module>)
        3    0.000    0.000    0.029    0.010 C:\Users\twshe\Desktop\NCPy\UnityPython\test.py:14(pipeline)
       55    0.000    0.000    0.026    0.000 C:\Users\twshe\conda\envs\py310\lib\dataclasses.py:1168(wrap)
       55    0.002    0.000    0.026    0.000 C:\Users\twshe\conda\envs\py310\lib\dataclasses.py:876(_process_class)
       55    0.000    0.000    0.026    0.000 C:\Users\twshe\conda\envs\py310\lib\dataclasses.py:1150(dataclass)
        3    0.000    0.000    0.019    0.006 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:919(compile_module)
      9/3    0.000    0.000    0.015    0.005 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:858(visit_block)
  180/114    0.000    0.000    0.015    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:17(visit)
      168    0.001    0.000    0.013    0.000 C:\Users\twshe\conda\envs\py310\lib\dataclasses.py:412(_create_fn)
  570/162    0.000    0.000    0.009    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:31(visit)
